idAlumno;idAsignatura;nota
AL003;AS001;6.99
AL003;AS002;9.71
AL003;AS003;10
AL003;AS004;8.89
AL003;AS005;8.49
AL003;AS006;8.74
AL003;AS007;5.69
AL003;AS008;6.91
AL003;AS009;2.31
AL003;AS010;9.47
AL017;AS001;2.97
AL017;AS002;4.28
AL017;AS003;7.69
AL017;AS004;7.23
AL017;AS005;5.07
AL017;AS006;6.82
AL017;AS007;1.22
AL017;AS008;2.32
AL017;AS009;5.82
AL017;AS010;3.39
AL019;AS001;2.93
AL019;AS002;9.49
AL019;AS003;8.77
AL019;AS004;5.11
AL019;AS005;4.97
AL019;AS006;9.82
AL019;AS007;1.14
AL019;AS008;1.12
AL019;AS009;4.73
AL019;AS010;1.48
AL045;AS001;5.84
AL045;AS002;2.24
AL045;AS003;7.42
AL045;AS004;3.76
AL045;AS005;6.41
AL045;AS006;8.43
AL045;AS007;10
AL045;AS008;10
AL045;AS009;1.22
AL045;AS010;7.47
AL052;AS001;3.56
AL052;AS002;7.23
AL052;AS003;3.83
AL052;AS004;2.43
AL052;AS005;7.68
AL052;AS006;1.01
AL052;AS007;3.63
AL052;AS008;6.26
AL052;AS009;10
AL052;AS010;7.67
AL058;AS001;8.84
AL058;AS002;1.66
AL058;AS003;7.07
AL058;AS004;10
AL058;AS005;8.71
AL058;AS006;5.32
AL058;AS007;1.46
AL058;AS008;7.02
AL058;AS009;3.75
AL058;AS010;5.83
AL069;AS001;10
AL069;AS002;6.95
AL069;AS003;9.83
AL069;AS004;9.35
AL069;AS005;8.93
AL069;AS006;1.59
AL069;AS007;7.99
AL069;AS008;6.51
AL069;AS009;2.58
AL069;AS010;2.78
AL076;AS001;7.56
AL076;AS002;7.51
AL076;AS003;8.63
AL076;AS004;8.88
AL076;AS005;6.78
AL076;AS006;5.01
AL076;AS007;9.19
AL076;AS008;3.53
AL076;AS009;10
AL076;AS010;8.99
AL081;AS001;7.21
AL081;AS002;3.09
AL081;AS003;9.84
AL081;AS004;5.52
AL081;AS005;1.46
AL081;AS006;4.09
AL081;AS007;9.87
AL081;AS008;10
AL081;AS009;6.24
AL081;AS010;8.89
AL090;AS001;8.12
AL090;AS002;6.86
AL090;AS003;1.85
AL090;AS004;4.43
AL090;AS005;1.44
AL090;AS006;1.49
AL090;AS007;6.58
AL090;AS008;3.36
AL090;AS009;7.52
AL090;AS010;2.32
AL092;AS001;7.99
AL092;AS002;2.12
AL092;AS003;6.15
AL092;AS004;9.99
AL092;AS005;3.54
AL092;AS006;4.83
AL092;AS007;1.46
AL092;AS008;6.88
AL092;AS009;6.22
AL092;AS010;2.29
AL103;AS001;7.88
AL103;AS002;5.39
AL103;AS003;7.17
AL103;AS004;7.62
AL103;AS005;3.25
AL103;AS006;7.91
AL103;AS007;3.72
AL103;AS008;2.22
AL103;AS009;6.77
AL103;AS010;8.06
AL104;AS001;7.28
AL104;AS002;1.76
AL104;AS003;8.54
AL104;AS004;6.74
AL104;AS005;6.76
AL104;AS006;4.18
AL104;AS007;1.46
AL104;AS008;4.13
AL104;AS009;2.95
AL104;AS010;10
AL108;AS001;1.02
AL108;AS002;3.47
AL108;AS003;2.83
AL108;AS004;5.09
AL108;AS005;1.94
AL108;AS006;2.28
AL108;AS007;7.63
AL108;AS008;6.25
AL108;AS009;1.47
AL108;AS010;10
AL118;AS001;5.45
AL118;AS002;5.91
AL118;AS003;3.29
AL118;AS004;8.89
AL118;AS005;8.03
AL118;AS006;2.45
AL118;AS007;10
AL118;AS008;9.37
AL118;AS009;7.63
AL118;AS010;7.08
AL132;AS001;6.93
AL132;AS002;8.83
AL132;AS003;6.51
AL132;AS004;8.31
AL132;AS005;3.37
AL132;AS006;6.65
AL132;AS007;6.25
AL132;AS008;4.54
AL132;AS009;8.88
AL132;AS010;2.29
AL138;AS001;1.78
AL138;AS002;6.12
AL138;AS003;6.95
AL138;AS004;8.63
AL138;AS005;1.38
AL138;AS006;4.67
AL138;AS007;10
AL138;AS008;7.01
AL138;AS009;8.86
AL138;AS010;5.75
AL142;AS001;3.65
AL142;AS002;9.84
AL142;AS003;10
AL142;AS004;1.46
AL142;AS005;7.31
AL142;AS006;3.72
AL142;AS007;1.71
AL142;AS008;2.96
AL142;AS009;2.01
AL142;AS010;5.49
AL147;AS001;1.28
AL147;AS002;3.81
AL147;AS003;7.32
AL147;AS004;10
AL147;AS005;2.56
AL147;AS006;4.52
AL147;AS007;9.48
AL147;AS008;2.87
AL147;AS009;3.47
AL147;AS010;5.99
AL165;AS001;3.89
AL165;AS002;2.14
AL165;AS003;1.76
AL165;AS004;1.79
AL165;AS005;10
AL165;AS006;4.95
AL165;AS007;4.81
AL165;AS008;8.36
AL165;AS009;3.62
AL165;AS010;3.24
AL187;AS001;8.49
AL187;AS002;5.53
AL187;AS003;2.32
AL187;AS004;6.19
AL187;AS005;7.19
AL187;AS006;8.71
AL187;AS007;1.18
AL187;AS008;5.37
AL187;AS009;3.33
AL187;AS010;3.51
AL189;AS001;6.54
AL189;AS002;7.06
AL189;AS003;7.67
AL189;AS004;4.41
AL189;AS005;1.27
AL189;AS006;9.19
AL189;AS007;2.88
AL189;AS008;3.07
AL189;AS009;2.99
AL189;AS010;6.38
AL194;AS001;3.27
AL194;AS002;4.34
AL194;AS003;1.26
AL194;AS004;3.42
AL194;AS005;1.72
AL194;AS006;1.46
AL194;AS007;2.94
AL194;AS008;9.34
AL194;AS009;8.87
AL194;AS010;5.98
AL007;AS011;2.16
AL007;AS012;4.21
AL007;AS013;9.42
